id,birthdate,department,sex,panel,speed_test_average,leave_date,leave_reason
14284,1964-11-01,75,F,1,5513024,,
14285,1982-11-01,69,F,1,3009242,,
14286,1974-05-01,95,M,1,3138566,,
14287,1976-07-01,74,M,1,0,2015-03-20,exclusion
14288,1989-06-01,92,F,1,6901956,,
14289,1955-08-01,75,F,1,2492274,,
14290,1966-08-01,94,M,1,4645503,,
14291,1938-04-01,29,M,1,0,2015-01-08,death
14292,1978-02-01,59,F,1,3114299,,
14293,1960-01-01,59,F,1,4365997,,
14294,1977-09-01,45,F,1,0,2014-09-01,exit
14295,1990-01-01,67,F,1,5237090,,
14296,1952-05-01,44,F,1,4324676,,
14297,1947-07-01,93,F,1,3053134,,
14298,1988-07-01,76,M,1,0,2014-10-29,exclusion
14299,1943-04-01,36,F,1,3807917,,
14300,1983-07-01,27,F,1,2076928,,
14301,1965-11-01,69,M,1,2330473,,
14302,1977-02-01,50,M,1,3897203,,
14303,1979-06-01,67,M,1,0,2014-06-26,exclusion
14304,1960-05-01,44,F,1,6433726,,
14305,1979-11-01,57,M,1,3435233,,
14306,1944-02-01,92,F,1,2741642,,
14307,1993-01-01,94,F,1,4037410,,
14308,1962-12-01,75,F,1,3128865,,
14309,1946-09-01,59,M,1,3300948,,
14310,1954-07-01,93,F,1,4936176,,
14311,1970-08-01,43,M,1,4539538,,
14312,1958-07-01,54,M,1,6636505,,
14313,1990-06-01,59,M,1,4869917,,
14314,1988-01-01,69,M,1,3507481,,
14315,1978-09-01,59,F,1,5457691,2018-03-26,exit
14316,1955-08-01,34,M,1,2277893,,
14317,1958-12-01,55,F,1,3148216,,
14318,1974-04-01,67,F,1,3067163,,
14319,1964-08-01,10,F,1,4159297,,
14320,1951-11-01,13,F,1,2627045,,
14321,1976-03-01,47,F,1,912632,,
14322,1947-05-01,43,M,1,3041374,,
14323,1977-11-01,59,M,1,3232367,,
14324,1950-05-01,38,F,1,2164085,,
14325,1950-09-01,77,M,1,3335053,,
14326,1984-05-01,74,M,1,2014849,2018-01-11,exit
14327,1972-05-01,95,F,1,5670145,2019-05-17,exit
14328,1986-02-01,69,F,1,2231444,2017-10-17,exclusion
14329,1965-06-01,80,M,1,5001896,2017-05-31,exit
14330,1971-07-01,11,F,1,4621669,,
14331,1961-09-01,77,M,1,2864234,,
14332,1971-08-01,37,M,1,2368665,,
14333,1977-11-01,69,M,1,2269186,,
14334,1943-02-01,70,F,1,0,2014-10-21,exclusion
14335,1983-11-01,94,F,1,2669487,2016-04-07,exclusion
14336,1984-02-01,69,M,1,2609438,,
14337,1976-08-01,69,F,1,2705104,,
14338,1946-04-01,91,M,1,0,2015-02-10,exit
14339,1977-03-01,63,F,1,4344113,,
14340,1971-04-01,40,F,1,2911250,,
14341,1954-05-01,91,M,1,0,2015-01-06,exclusion
14342,1975-09-01,55,M,1,3008700,2019-04-10,exit
14343,1973-03-01,75,M,1,6966429,,
14344,1967-12-01,49,M,1,3300362,,
14345,1967-08-01,34,M,1,2458565,,
14346,1985-07-01,93,M,1,0,2014-12-05,exclusion
14347,1949-02-01,37,M,1,2792597,,
14348,1992-09-01,02,F,1,4438282,,
14349,1960-04-01,42,M,1,2634513,2017-01-30,exit
14350,1970-12-01,62,M,1,3324003,,
14351,1969-03-01,94,M,1,0,2015-08-31,exclusion
14352,1981-08-01,33,M,1,0,2015-05-12,exclusion
14353,1970-05-01,73,F,1,1882090,,
14354,1990-12-01,43,M,1,0,2014-06-19,exit
14355,1958-09-01,27,F,1,2259512,2018-01-10,death
14356,1954-06-01,84,M,1,3423081,,
14357,1966-07-01,19,F,1,2638108,,
14358,1981-09-01,38,M,1,1796444,,
14359,1971-05-01,54,M,1,4377874,,
14360,1967-08-01,67,M,1,3612347,,
14361,1989-03-01,93,F,1,2656027,2015-11-12,exit
14362,1960-01-01,91,F,1,4326467,,
14363,1975-05-01,68,F,1,5552285,,
14364,1980-09-01,84,F,1,2240287,,
14365,1983-05-01,80,F,1,3548112,,
14366,1961-09-01,27,F,1,3636930,,
14367,1981-11-01,13,M,1,0,2014-06-12,retractation
14368,1956-11-01,58,F,1,3722768,,
14369,1968-01-01,43,M,1,0,2014-03-10,exclusion
14370,1968-09-01,45,F,1,2228362,,
14371,1951-08-01,27,M,1,3397949,,
14372,1974-01-01,70,F,1,3605057,,
14373,1979-11-01,18,F,1,2580695,,
14374,1962-09-01,06,M,1,3055275,,
14375,1980-03-01,31,F,1,2571342,,
14376,1980-07-01,44,M,1,2799232,,
14377,1973-04-01,95,M,1,5095657,,
14378,1977-03-01,57,F,1,3484005,,
14379,1980-10-01,27,M,1,6050293,2016-02-15,exit
14380,1988-04-01,92,M,1,8874502,,
14381,1942-07-01,91,F,1,6805362,,
14382,1985-12-01,73,F,1,2692538,2018-04-12,exit
14383,1955-07-01,29,F,1,3193115,,
14384,1960-11-01,18,F,1,1912901,,
14385,1982-10-01,85,F,1,1559903,2017-10-17,exclusion
14386,1984-01-01,85,M,1,4559345,2018-09-06,exit
14387,1985-07-01,75,M,1,2901918,,
14388,1958-12-01,40,M,1,2471542,2019-01-02,exit
14389,1962-04-01,94,F,1,0,2015-08-31,exclusion
14390,1978-05-01,19,M,1,1127747,2017-10-17,exclusion
14391,1975-12-01,67,M,1,2214455,,
14392,1959-09-01,71,F,1,2400788,,
14393,1962-07-01,45,M,1,3284570,,
14394,1977-02-01,10,F,1,2840987,,
14395,1973-08-01,17,F,1,1972353,,
14396,1974-08-01,09,F,1,2881159,,
14397,1976-12-01,17,F,1,3782245,,
14398,1965-04-01,59,M,1,3632234,,
14399,1976-03-01,31,F,1,2431258,,
14400,1979-04-01,49,F,1,1146222,,
14401,1954-12-01,67,M,1,3423195,,
14402,1952-02-01,91,F,1,4778301,,
14403,1991-12-01,77,M,1,2693582,2018-04-25,exclusion
14404,1966-12-01,13,F,1,0,2014-04-29,exclusion
14405,1980-09-01,02,F,1,4532894,2015-11-03,exclusion
14406,1949-01-01,57,M,1,3249522,,
14407,1970-03-01,72,M,1,2509530,2016-10-06,exclusion
14408,1978-11-01,17,M,1,3193070,,
14409,1976-12-01,44,F,1,4914151,,
14410,1972-11-01,74,F,1,2498390,,
14411,1977-04-01,66,F,1,3695213,,
14412,1990-05-01,06,F,1,3802263,2016-08-22,exclusion
14413,1972-01-01,59,M,1,3512061,,
14414,1943-09-01,13,M,1,0,2015-04-08,exit
14415,1951-03-01,74,F,1,2790772,,
14416,1960-08-01,47,F,1,2160249,,
14417,1944-07-01,57,F,1,3773788,,
14418,1974-03-01,57,F,1,6027006,,
14419,1994-04-01,34,F,1,3270477,2018-06-01,exit
14420,1979-08-01,40,F,1,3372245,,
14421,1959-07-01,59,F,1,4078525,2017-12-07,exit
14422,1991-06-01,74,M,1,5200129,,
14423,1950-07-01,22,F,1,0,2014-06-12,exit
14424,1951-03-01,69,M,1,4130755,,
14425,1972-10-01,28,M,1,1276389,2016-04-07,exclusion
14426,1980-01-01,49,M,1,4146484,,
14427,1973-06-01,22,M,1,3950250,,
14428,1952-02-01,16,M,1,2305324,,
14429,1980-07-01,67,F,1,4440204,,
14430,1959-05-01,53,M,1,2127322,,
14431,1959-07-01,13,M,1,3444640,,
14432,1977-10-01,64,F,1,2723431,,
14433,1953-04-01,60,M,1,2301791,,
14434,1950-07-01,75,F,1,3672466,,
14435,1951-08-01,76,M,1,2863600,,
14436,1956-08-01,76,M,1,3302173,,
14437,1980-02-01,43,M,1,1660759,2017-11-10,exclusion
14438,1943-01-01,55,F,1,2244798,,
14439,1964-07-01,68,F,1,3179623,,
14440,1987-07-01,49,F,1,1332561,2017-06-26,exclusion
14441,1955-08-01,37,M,1,7312199,,
14442,1963-01-01,54,M,1,1775656,2018-07-05,exit
14443,1950-03-01,59,M,1,4047175,,
14444,1958-06-01,18,M,1,5965609,,
14445,1977-11-01,19,F,1,2562964,,
14446,1958-07-01,26,M,1,2266310,,
14447,1976-04-01,83,F,1,2611627,2018-05-02,exit
14448,1947-08-01,56,F,1,3163742,,
14449,1965-07-01,24,F,1,1544104,,
14450,1959-02-01,59,F,1,6187385,2016-04-26,exit
14451,1958-09-01,31,F,1,4003301,,
14452,1969-09-01,30,F,1,2321440,,
14453,1994-04-01,38,M,1,1372705,2016-12-14,exclusion
14454,1946-02-01,92,F,1,0,2013-10-17,exit
14455,1982-03-01,44,M,1,2477981,,
14456,1975-09-01,57,F,1,4127527,,
14457,1994-04-01,75,F,1,3063391,2018-02-09,exit
14458,1975-02-01,62,F,1,1452382,,
14459,1956-05-01,57,F,1,2501554,,
14460,1973-07-01,72,M,1,3032335,,
14461,1970-09-01,06,M,1,0,2013-09-18,exit
14462,1959-07-01,01,M,1,4707612,,
14463,1962-05-01,86,M,1,2911771,,
14464,1952-05-01,84,M,1,3611471,,
14465,1968-10-01,77,F,1,5747800,,
14466,1963-06-01,26,F,1,3651643,2018-05-03,exit
14467,1977-07-01,34,M,1,2625551,,
14468,1981-01-01,93,M,1,2715644,,
14469,1955-02-01,69,F,1,5837157,,
14470,1971-04-01,47,F,1,2158084,,
14471,1951-04-01,89,F,1,1633983,2017-03-07,exit
14472,1945-03-01,94,M,1,2288952,,
14473,1948-10-01,69,M,1,3777156,,
14474,1982-10-01,62,F,1,2513606,2016-05-02,exclusion
14475,1975-09-01,62,M,1,1894137,2018-11-12,exclusion
14476,1980-02-01,34,F,1,3487667,,
14477,1943-11-01,75,M,1,0,2014-04-14,death
14478,1980-04-01,13,F,1,3582876,,
14479,1959-05-01,72,M,1,2036261,,
14480,1979-12-01,43,F,1,2345910,,
14481,1956-12-01,30,M,1,2653888,,
14482,1984-09-01,69,M,1,5320126,,
14483,1977-10-01,75,M,1,5330374,,
14484,1968-10-01,16,M,1,2001659,,
14485,1979-08-01,59,F,1,2252780,,
14486,1968-07-01,84,F,1,3691308,,
14487,1947-08-01,94,M,1,3406491,,
14488,1973-05-01,69,M,1,0,2014-09-30,exit
14489,1970-05-01,67,F,1,2518684,,
14490,1973-07-01,19,F,1,2305517,,
14491,1965-10-01,12,F,1,3490091,2017-07-19,exit
14492,1972-07-01,95,M,1,2607986,,
14493,1969-06-01,83,F,1,5826284,2016-10-06,exclusion
14494,1974-09-01,36,F,1,3833508,,
14495,1968-11-01,26,M,1,1139531,,
14496,1970-08-01,06,F,1,3165767,,
14497,1972-07-01,93,M,1,3875433,,
14498,1978-05-01,76,F,1,4012548,,
14499,1982-01-01,68,M,1,0,2014-04-29,exclusion
14500,1974-03-01,44,F,1,3991064,,
14501,1967-10-01,37,F,1,3897748,,
14502,1961-09-01,84,F,1,3428600,,
14503,1959-04-01,13,M,1,2437704,2018-07-17,death
14504,1966-08-01,28,M,1,8750618,,
14505,1957-03-01,74,M,1,3406043,,
14506,1949-07-01,56,F,1,2945912,,
14507,1979-08-01,49,F,1,1718670,,
14508,1970-03-01,17,M,1,2314537,,
14509,1949-07-01,57,M,1,3189838,,
14510,1946-11-01,84,M,1,3828874,,
14511,1967-08-01,92,F,1,0,2014-05-02,exclusion
14512,1966-05-01,44,F,1,2863303,,
14513,1957-10-01,77,M,1,2635222,,
14514,1966-11-01,44,M,1,2783756,,
14515,1947-04-01,75,F,1,5046219,,
14516,1950-05-01,49,M,1,4398683,2018-09-17,exit
14517,1967-03-01,87,F,1,2371871,,
14518,1976-12-01,56,F,1,0,2015-12-01,exclusion
14519,1965-08-01,01,M,1,3373837,2019-03-21,exit
14520,1956-08-01,34,M,1,2065883,,
14521,1983-06-01,93,F,1,2822088,2017-09-21,exit
14522,1970-12-01,16,M,1,2196219,,
14523,1982-07-01,76,F,1,0,2014-05-02,exit
14524,1971-10-01,29,F,1,1824104,,
14525,1973-02-01,92,F,1,1089433,2016-11-14,exclusion
14526,1971-10-01,10,M,1,3337516,,
14527,1966-05-01,72,M,1,1894755,,
14528,1973-11-01,84,M,1,2856836,2019-01-02,exit
14529,1947-09-01,75,F,1,4736740,2019-04-02,death
14530,1972-07-01,60,F,1,3351195,2018-06-07,exit
14531,1960-10-01,40,F,1,2966866,,
14532,1961-05-01,64,F,1,2490079,,
14533,1955-04-01,35,M,1,1778042,,
14534,1956-12-01,92,F,1,0,2014-10-06,exit
14535,1967-04-01,59,F,1,5926027,2018-07-09,exclusion
14536,1970-04-01,11,F,1,5168264,,
14537,1976-04-01,18,F,1,3264636,,
14538,1956-03-01,75,M,1,0,2014-03-28,exclusion
14539,1993-08-01,33,M,1,520849,2017-06-26,exclusion
14540,1962-10-01,75,F,1,5340126,,
14541,1943-08-01,92,F,1,3807984,,
14542,1970-02-01,31,F,1,2510843,,
14543,1957-07-01,75,M,1,5389702,,
14544,1943-12-01,80,F,1,2986367,,
14545,1982-03-01,84,M,1,4558817,,
14546,1979-05-01,13,M,1,1627435,2017-01-17,exit
14547,1968-02-01,57,M,1,2436177,,
14548,1960-06-01,75,M,1,5014357,,
14549,1980-08-01,77,M,1,5038871,,
14550,1988-11-01,37,M,1,6159442,,
14551,1982-03-01,77,M,1,3265932,,
14552,1964-08-01,92,F,1,3166643,,
14553,1952-10-01,69,F,1,2745350,,
14554,1949-03-01,40,M,1,2368493,,
14555,1943-06-01,29,M,1,0,2013-10-28,death
14556,1951-07-01,35,M,1,1938297,,
14557,1951-12-01,41,F,1,2039291,,
14558,1967-09-01,50,M,1,1849014,,
14559,1993-05-01,28,M,1,3227158,,
14560,1983-12-01,59,F,1,2034226,,
14561,1947-07-01,30,M,1,2931530,,
14562,1955-06-01,94,F,1,2231825,,
14563,1969-05-01,72,F,1,0,2015-04-14,exclusion
14564,1988-03-01,47,M,1,0,2015-02-06,exclusion
14565,1977-12-01,75,F,1,0,2014-03-20,exit
14566,1978-07-01,55,M,1,2721662,2018-07-09,exclusion
14567,1969-04-01,16,M,1,3459874,,
14568,1990-04-01,26,M,1,2831516,2019-05-06,exit
14569,1942-07-01,02,F,1,2174887,2017-10-05,exit
14570,1964-01-01,92,M,1,4933605,,
14571,1979-06-01,95,F,1,3815412,,
14572,1975-08-01,78,M,1,2521179,,
14573,1975-11-01,91,M,1,0,2015-10-02,exclusion
14574,1963-12-01,02,F,1,2770107,,
14575,1961-10-01,43,F,1,3627528,,
14576,1980-01-01,51,M,1,2611399,,
14577,1982-10-01,78,M,1,5363355,2016-06-06,exclusion
14578,1972-10-01,13,F,1,0,2015-01-06,exclusion
14579,1973-10-01,44,M,1,2443129,,
14580,1955-04-01,57,M,1,1193316,2016-04-07,exclusion
14581,1990-04-01,56,M,1,2475086,,
14582,1960-11-01,80,M,1,2938591,,
14583,1991-06-01,25,F,1,4367824,,
14584,1956-06-01,80,F,1,2863866,,
14585,1966-01-01,42,F,1,3572412,,
14586,1991-04-01,74,M,1,3275832,,
14587,1951-11-01,45,M,1,4640264,,
14588,1953-02-01,93,M,1,3164434,,
14589,1972-05-01,31,F,1,0,2014-10-20,exit
14590,1992-11-01,91,F,1,1837716,2016-09-01,exit
14591,1977-01-01,91,M,1,0,2014-05-21,exclusion
14592,1980-11-01,74,M,1,2992762,,
14593,1949-01-01,56,F,1,5438667,2018-02-19,exit
14594,1964-01-01,59,M,1,2820884,,
14595,1975-06-01,13,M,1,4396060,,
14596,1944-08-01,12,F,1,2998467,,
14597,1943-09-01,75,F,1,2349366,2015-06-25,res_conv
14598,1980-01-01,75,F,1,8140056,2016-03-22,exit
14599,1956-05-01,67,F,1,3869012,,
14600,1981-02-01,17,M,1,1585336,,
14601,1992-08-01,51,F,1,1435886,2016-01-06,exit
14602,1959-06-01,02,F,1,2379873,,
14603,1985-09-01,86,M,1,5653240,,
14604,1946-09-01,92,M,1,2522081,,
14605,1985-12-01,08,F,1,2215565,,
14606,1958-06-01,86,F,1,2992315,,
14607,1968-03-01,67,F,1,2627254,,
14608,1959-04-01,45,F,1,5944253,,
14609,1979-06-01,67,F,1,7134298,,
14610,1956-04-01,62,M,1,1799726,,
14611,1973-02-01,63,M,1,0,2014-06-26,exclusion
14612,1971-09-01,37,F,1,6193372,,
14613,1991-07-01,42,F,1,2510191,,
14614,1978-08-01,75,M,1,0,2015-02-06,exclusion
14615,1945-08-01,50,F,1,0,2014-06-12,exclusion
14616,1944-10-01,28,F,1,1975310,,
14617,1991-01-01,54,M,1,1689599,2018-03-21,exclusion
14618,1951-12-01,24,M,1,1805726,,
14619,1951-02-01,54,M,1,4183145,,
14620,1962-03-01,31,M,1,3124541,,
14621,1950-08-01,59,M,1,6752586,,
14622,1990-03-01,88,M,1,3879831,,
14623,1967-03-01,95,F,1,5364573,,
14624,1951-08-01,63,M,1,3459906,,
14625,1968-05-01,66,F,1,2997198,,
14626,1987-03-01,33,F,1,0,2014-03-10,exclusion
14627,1982-10-01,77,F,1,5299300,,
14628,1963-10-01,40,M,1,925451,2016-07-08,exclusion
14629,1943-08-01,10,M,1,0,2013-03-11,exit
14630,1973-06-01,40,M,1,3089357,,
14631,1950-08-01,70,M,1,3209133,,
14632,1962-09-01,82,F,1,2270794,,
14633,1968-06-01,70,F,1,2186234,2019-03-04,exclusion
14634,1958-01-01,41,M,1,4270417,,
14635,1987-03-01,40,F,1,1850013,,
14636,1981-06-01,57,M,1,0,2014-02-26,exclusion
14637,1981-03-01,10,F,1,4660839,2015-11-03,exclusion
14638,1958-11-01,41,M,1,0,2013-02-01,exclusion
14639,1973-12-01,93,M,1,4900123,,
14640,1973-05-01,70,M,1,4913410,2018-08-28,exclusion
14641,1946-07-01,70,M,1,728764,2017-08-24,exit
14642,1946-05-01,25,M,1,0,2014-04-03,exclusion
14643,1993-08-01,91,M,1,0,2015-02-06,exclusion
14644,1958-07-01,41,F,1,4973932,,
14645,1962-08-01,40,F,1,0,2014-02-05,exclusion
14646,1993-07-01,86,F,1,0,2014-01-30,exclusion
14647,1971-02-01,41,M,1,0,2015-01-26,death
14648,1977-05-01,10,M,1,1901368,,
14649,1964-01-01,01,F,1,3388639,,
14650,1958-08-01,88,F,1,5658429,2019-01-11,exclusion
14651,1977-10-01,01,M,1,1482322,,
14652,1970-02-01,88,M,1,4751657,,
14653,1989-02-01,33,M,1,1965193,2017-10-25,exit
14654,1984-01-01,10,M,1,3126165,,
14655,1965-06-01,09,M,1,2660606,,
14656,1978-12-01,74,F,1,3829143,,
14657,1985-10-01,01,M,1,2556742,,
14658,1941-02-01,09,M,1,2835659,,
14659,1954-11-01,68,F,1,2856797,,
14660,1967-02-01,35,F,1,3102621,2018-05-29,exclusion
14661,1967-02-01,33,M,1,5509551,,
14662,1976-11-01,34,M,1,0,2014-03-28,exclusion
14663,1977-04-01,34,F,1,2873808,,
14664,1993-12-01,01,M,1,3221541,,
14665,1949-12-01,59,F,1,3836801,,
14666,1960-03-01,31,M,1,1823267,2017-03-03,exit
14667,1968-04-01,95,F,1,6272203,,
14668,1958-12-01,95,M,1,1529953,,
14669,1982-09-01,45,F,1,4223583,2019-01-11,exclusion
14670,1961-01-01,45,F,1,1874063,,
14671,1961-01-01,18,M,1,4921345,,
14672,1950-02-01,18,M,1,1396520,2016-01-06,exit
14673,1967-07-01,14,F,1,6016165,,
14674,1976-01-01,59,F,1,2605460,,
14675,1940-02-01,08,F,1,6645785,2017-11-09,exit
14676,1968-02-01,10,F,1,2659103,,
14677,1981-09-01,59,F,1,4282761,,
14678,1965-11-01,08,M,1,0,2014-03-05,exclusion
14679,1959-09-01,68,F,1,1823791,,
14680,1956-06-01,11,F,1,4069863,,
14681,1982-06-01,34,M,1,3085337,,
14682,1959-01-01,34,M,1,0,2013-11-19,exit
14683,1973-07-01,34,F,1,1989480,2015-12-01,exclusion
14684,1991-06-01,47,F,1,2065774,,
14685,1975-04-01,40,F,1,2076696,,
14686,1984-09-01,75,F,1,4548926,,
14687,1949-11-01,59,F,1,4459877,,
14688,1978-09-01,75,F,1,2974726,,
14689,1989-10-01,45,M,1,0,2014-03-10,exclusion
14690,1983-08-01,59,F,1,2454237,,
14691,1982-01-01,45,M,1,0,2013-10-29,exit
14692,1978-03-01,59,F,1,5535267,,
14693,1991-08-01,45,F,1,4646642,2019-04-08,exclusion
14694,1965-05-01,39,F,1,734304,,
14695,1970-09-01,08,F,1,3243415,,
14696,1984-10-01,11,M,1,3498630,2019-03-04,exclusion
14697,1994-05-01,14,M,1,0,2013-06-12,retractation
14698,1947-08-01,93,F,1,1226794,2015-10-20,death
14699,1985-03-01,18,F,1,5822175,,
14700,1988-12-01,39,M,1,0,2014-03-06,exit
14701,1969-09-01,38,M,1,1791353,,
14702,1985-11-01,45,F,1,733483,2017-01-17,exit
14703,1963-09-01,13,F,1,4189057,,
14704,1974-08-01,34,F,1,0,2014-03-20,exclusion
14705,1983-07-01,34,M,1,0,2014-06-19,exit
14706,1965-10-01,45,M,1,6541451,,
14707,1970-08-01,45,M,1,0,2015-08-31,exclusion
14708,1961-04-01,68,M,1,2622341,,
14709,1964-07-01,13,F,1,0,2014-03-06,exit
14710,1957-08-01,13,F,1,4040994,,
14711,1968-12-01,18,M,1,740368,2015-11-24,exit
14712,1975-01-01,32,M,1,3774877,2018-08-21,exit
14713,1949-04-01,34,F,1,1814602,2017-07-10,exit
14714,1954-11-01,35,F,1,3405115,,
14715,1978-05-01,38,M,1,3413410,,
14716,1951-01-01,38,M,1,2595924,,
14717,1948-01-01,42,M,1,4151942,2016-05-19,exit
14718,1948-07-01,42,F,1,0,2013-04-08,exit
14719,1973-07-01,44,F,1,2880320,,
14720,1962-10-01,44,F,1,2768924,,
14721,1978-04-01,44,M,1,4081567,,
14722,1973-01-01,44,M,1,0,2014-01-30,exit
14723,1971-12-01,44,M,1,0,2014-02-24,exit
14724,1968-03-01,45,F,1,2684912,2016-07-08,exclusion
14725,1941-08-01,49,F,1,1733321,,
14726,1959-01-01,49,M,1,0,2013-07-26,exit
14727,1962-06-01,49,M,1,546003,2015-09-04,exit
14728,1949-11-01,57,M,1,2097459,,
14729,1953-01-01,57,M,1,2502989,2018-10-22,death
14730,1939-12-01,57,M,1,0,2013-03-13,exit
14731,1986-11-01,57,F,1,2994045,,
14732,1964-11-01,59,M,1,2815328,,
14733,1963-10-01,74,F,1,1165191,,
14734,1947-05-01,74,M,1,2613920,,
14735,1993-04-01,74,M,1,0,2014-02-14,exclusion
14736,1943-04-01,74,M,1,2756724,,
14737,1984-04-01,75,F,1,0,2014-09-26,exit
14738,1983-03-01,80,F,1,3335309,,
14739,1969-04-01,80,M,1,0,2014-03-20,exclusion
14740,1960-08-01,06,M,1,3328626,,
14741,1959-11-01,93,F,1,2808575,,
14742,1959-08-01,95,F,1,8527846,,
14743,1950-03-01,27,M,1,0,2014-07-10,death
14744,1944-05-01,32,M,1,2591223,,
14745,1993-03-01,32,M,1,0,2014-03-28,exclusion
14746,1961-07-01,34,M,1,3893178,,
14747,1947-08-01,36,M,1,7363672,2016-12-06,exit
14748,1969-03-01,65,M,1,2890476,2018-01-02,exit
14749,1982-08-01,36,M,1,0,2015-07-15,exit
14750,1977-09-01,38,M,1,2744184,,
14751,1947-01-01,38,F,1,3001347,,
14752,1978-09-01,38,F,1,4266610,2019-03-04,exclusion
14753,1983-01-01,76,F,1,0,2014-12-04,exit
14754,1950-11-01,77,F,1,0,2014-08-11,exclusion
14755,1975-08-01,77,F,1,1320454,2016-11-03,exit
14756,1984-03-01,77,F,1,4053977,,
14757,1967-06-01,80,M,1,4216341,2018-05-09,exit
14758,1971-04-01,27,F,1,2077565,,
14759,1949-01-01,44,M,1,2853402,,
14760,1967-09-01,44,M,1,2498567,,
14761,1960-12-01,44,F,1,3004832,2019-05-02,exit
14762,1949-02-01,69,F,1,3093944,,
14763,1952-11-01,70,M,1,2186126,,
14764,1955-03-01,77,M,1,4497106,2016-12-05,exit
14765,1958-05-01,49,M,1,1043732,2016-07-08,exclusion
14766,1968-06-01,49,M,1,3136072,,
14767,1953-04-01,49,F,1,1840435,,
14768,1950-05-01,54,F,1,0,2013-05-13,exit
14769,1975-03-01,54,M,1,2186540,,
14770,1967-05-01,54,F,1,5000546,,
14771,1975-02-01,54,M,1,0,2014-10-29,exclusion
14772,1979-04-01,54,F,1,2738859,,
14773,1981-10-01,57,F,1,0,2014-02-10,exclusion
14774,1951-02-01,72,M,1,3063970,,
14775,1966-08-01,72,M,1,0,2014-03-10,exclusion
14776,1953-07-01,10,M,1,1874769,,
14777,1983-05-01,22,F,1,1570340,,
14778,1978-12-01,22,M,1,2746725,,
14779,1963-03-01,27,F,1,3101418,,
14780,1980-10-01,27,M,1,2764718,2016-06-06,exclusion
14781,1963-04-01,44,M,1,0,2015-05-12,exclusion
14782,1970-10-01,44,F,1,7324024,2016-09-22,exit
14783,1990-01-01,49,M,1,1461652,,
14784,1956-02-01,49,F,1,0,2013-08-02,exit
14785,1946-11-01,49,F,1,783122,2016-08-22,exclusion
14786,1948-04-01,49,M,1,0,2014-10-03,exit
14787,1980-01-01,59,M,1,0,2013-10-17,exit
14788,1985-05-01,59,F,1,4424359,,
